album_name,interval,singer_name,song_name
0009vXmA3kjN9s,105%,杨小壮/鹏鹏,口是心非
0041Wwg63to2bH,100%,杨小壮/鹏鹏,让我欢喜让我忧
002ZTDz30DFrr4,81%,新旭,DJDJ给我一条K (抖音原版)
003PnsTL0OwBuZ,77%,陈奕迅,我们
0046lIXc2oYLuJ,62%,程响,美丽女人
003EHeM41Fs1hO,58%,NCT 127 (엔씨티 127),영웅 (英雄; Kick It)
002qs8VK2GVsH8,54%,K-391/Alan Walker/Ahrix,End of Time
0045KrMS4f5cQf,49%,刘柏辛Lexie,Manta
0049MVh824D7bM,49%,G.E.M. 邓紫棋,很久以后
002fD6Hv3ua8ST,46%,修行的红莲,孤单的人
003EHeM41Fs1hO,44%,NCT 127 (엔씨티 127),Elevator (127F)
002x8bQj1EZryR,36%,司南,春三月
000EI9tu27e5iy,36%,梦然,少年
000K7srf1rZtOX,36%,张杰/张碧晨,只要平凡
0043BQGC4Fz1bp,36%,蒋雪儿,莫问归期
0025C8qh3fEmv8,35%,苏晗,火苗
003xvTkP0UIHRr,35%,Katy Perry,Never Worn White
002jLGWe16Tf1H,34%,周杰伦,退后
0021TQXe2pQacf,32%,胜屿,够爱
003EHeM41Fs1hO,31%,NCT 127 (엔씨티 127),꿈 (Boom) (梦)
